Source;Threads;Input;Result;Output
parallel_percentage;4;10x5M;0.798886;ok
parallel_percentage;8;10x1M;0.360944;ok
parallel_percentage;8;10x2M;0.381065;ok
parallel_percentage;8;10x5M;0.721973;ok
parallel_percentage;1;10x1M;0.848239;ok
parallel_percentage;1;10x2M;0.861564;ok
parallel_percentage;1;10x5M;0.962846;ok
parallel_percentage;2;10x1M;0.742519;ok
parallel_percentage;2;10x2M;0.767114;ok
parallel_percentage;2;10x5M;0.929721;ok
parallel_percentage;4;10x1M;0.470149;ok
parallel_percentage;4;10x2M;0.529452;ok
parallel_percentage;4;10x5M;0.807321;ok
parallel_percentage;8;10x1M;0.353337;ok
parallel_percentage;8;10x2M;0.380073;ok
parallel_percentage;8;10x5M;0.700850;ok
parallel_percentage;1;10x1M;0.845138;ok
parallel_percentage;1;10x2M;0.862149;ok
parallel_percentage;1;10x5M;0.962844;ok
parallel_percentage;2;10x1M;0.735565;ok
parallel_percentage;2;10x2M;0.773088;ok
parallel_percentage;2;10x5M;0.932650;ok
parallel_percentage;4;10x1M;0.464014;ok
parallel_percentage;4;10x2M;0.529978;ok
parallel_percentage;4;10x5M;0.803904;ok
parallel_percentage;8;10x1M;0.355010;ok
parallel_percentage;8;10x2M;0.377817;ok
parallel_percentage;8;10x5M;0.701512;ok
parallel_percentage;1;10x1M;0.845694;ok
parallel_percentage;1;10x2M;0.861447;ok
parallel_percentage;1;10x5M;0.962544;ok
parallel_percentage;2;10x1M;0.741910;ok
parallel_percentage;2;10x2M;0.772661;ok
parallel_percentage;2;10x5M;0.931422;ok
parallel_percentage;4;10x1M;0.471230;ok
parallel_percentage;4;10x2M;0.529978;ok
parallel_percentage;4;10x5M;0.803777;ok
parallel_percentage;8;10x1M;0.345546;ok
parallel_percentage;8;10x2M;0.401905;ok
parallel_percentage;8;10x5M;0.703832;ok
parallel_percentage;1;10x1M;0.845288;ok
parallel_percentage;1;10x2M;0.862058;ok
parallel_percentage;1;10x5M;0.962999;ok
parallel_percentage;2;10x1M;0.738262;ok
parallel_percentage;2;10x2M;0.772140;ok
parallel_percentage;2;10x5M;0.931553;ok
parallel_percentage;4;10x1M;0.462473;ok
parallel_percentage;4;10x2M;0.527457;ok
parallel_percentage;4;10x5M;0.805730;ok
parallel_percentage;8;10x1M;0.444544;ok
